"filename", "language", "Dart", "comment", "blank", "total"
"c:\Dev projects\Flutter\Shoufibokra\lib\consts\app_images.dart", "Dart", 6, 1, 2, 9
"c:\Dev projects\Flutter\Shoufibokra\lib\consts\app_style.dart", "Dart", 20, 1, 5, 26
"c:\Dev projects\Flutter\Shoufibokra\lib\consts\app_urls.dart", "Dart", 7, 1, 2, 10
"c:\Dev projects\Flutter\Shoufibokra\lib\controllers\shared_controllers\logged_in_status_controller.dart", "Dart", 19, 1, 5, 25
"c:\Dev projects\Flutter\Shoufibokra\lib\controllers\shared_controllers\login_controller.dart", "Dart", 13, 2, 4, 19
"c:\Dev projects\Flutter\Shoufibokra\lib\controllers\shared_controllers\signup_controller.dart", "Dart", 26, 0, 4, 30
"c:\Dev projects\Flutter\Shoufibokra\lib\controllers\shared_controllers\theme_controller.dart", "Dart", 23, 0, 5, 28
"c:\Dev projects\Flutter\Shoufibokra\lib\main.dart", "Dart", 46, 1, 4, 51
"c:\Dev projects\Flutter\Shoufibokra\lib\models\users\user_model.dart", "Dart", 28, 0, 3, 31
"c:\Dev projects\Flutter\Shoufibokra\lib\services\auth_services\auth_service.dart", "Dart", 197, 1, 15, 213
"c:\Dev projects\Flutter\Shoufibokra\lib\services\get_storage\get_storage.dart", "Dart", 30, 0, 12, 42
"c:\Dev projects\Flutter\Shoufibokra\lib\services\location_services\getting_location.dart", "Dart", 86, 1, 7, 94
"c:\Dev projects\Flutter\Shoufibokra\lib\utils\bindings\initial_bindings.dart", "Dart", 14, 0, 5, 19
"c:\Dev projects\Flutter\Shoufibokra\lib\utils\helpers\add_sized_box.dart", "Dart", 37, 0, 5, 42
"c:\Dev projects\Flutter\Shoufibokra\lib\utils\helpers\image_helper.dart", "Dart", 39, 0, 5, 44
"c:\Dev projects\Flutter\Shoufibokra\lib\utils\locale\change_language.dart", "Dart", 9, 0, 2, 11
"c:\Dev projects\Flutter\Shoufibokra\lib\utils\locale\storage.dart", "Dart", 5, 0, 2, 7
"c:\Dev projects\Flutter\Shoufibokra\lib\utils\themes\app_themes.dart", "Dart", 216, 0, 2, 218
"c:\Dev projects\Flutter\Shoufibokra\lib\views\pages\organizer\organizer_home.dart", "Dart", 8, 0, 3, 11
"c:\Dev projects\Flutter\Shoufibokra\lib\views\pages\shared_pages\login_page.dart", "Dart", 75, 0, 4, 79
"c:\Dev projects\Flutter\Shoufibokra\lib\views\pages\shared_pages\signup_page.dart", "Dart", 127, 0, 3, 130
"c:\Dev projects\Flutter\Shoufibokra\lib\views\pages\shared_pages\welcome_page.dart", "Dart", 42, 0, 3, 45
"c:\Dev projects\Flutter\Shoufibokra\lib\views\pages\user\user_event.dart", "Dart", 279, 1, 5, 285
"c:\Dev projects\Flutter\Shoufibokra\lib\views\pages\user\user_favorite.dart", "Dart", 27, 0, 4, 31
"c:\Dev projects\Flutter\Shoufibokra\lib\views\pages\user\user_home.dart", "Dart", 122, 0, 3, 125
"c:\Dev projects\Flutter\Shoufibokra\lib\views\pages\user\user_profile.dart", "Dart", 139, 0, 3, 142
"c:\Dev projects\Flutter\Shoufibokra\lib\views\pages\user\user_tickets.dart", "Dart", 27, 0, 4, 31
"c:\Dev projects\Flutter\Shoufibokra\lib\views\widgets\shared_widgets\change_lang.dart", "Dart", 49, 0, 5, 54
"c:\Dev projects\Flutter\Shoufibokra\lib\views\widgets\shared_widgets\form_button.dart", "Dart", 24, 0, 3, 27
"c:\Dev projects\Flutter\Shoufibokra\lib\views\widgets\shared_widgets\form_dropdownmenu.dart", "Dart", 67, 0, 4, 71
"c:\Dev projects\Flutter\Shoufibokra\lib\views\widgets\shared_widgets\form_input.dart", "Dart", 68, 0, 4, 72
"c:\Dev projects\Flutter\Shoufibokra\lib\views\widgets\shared_widgets\logo_image.dart", "Dart", 15, 0, 4, 19
"c:\Dev projects\Flutter\Shoufibokra\lib\views\widgets\user\event_card.dart", "Dart", 128, 0, 5, 133
"c:\Dev projects\Flutter\Shoufibokra\lib\views\widgets\user\genre_selecter.dart", "Dart", 93, 0, 8, 101
"c:\Dev projects\Flutter\Shoufibokra\lib\views\widgets\user\search_bar.dart", "Dart", 26, 0, 3, 29
"c:\Dev projects\Flutter\Shoufibokra\lib\views\widgets\user\user_appbar.dart", "Dart", 56, 1, 4, 61
"c:\Dev projects\Flutter\Shoufibokra\lib\views\widgets\user\user_navbar.dart", "Dart", 61, 0, 4, 65
"c:\Dev projects\Flutter\Shoufibokra\lib\views\widgets\user\user_textbutton.dart", "Dart", 37, 0, 3, 40
"Total", "-", 2291, 11, 168, 2470
